observationId,fieldRA,fieldDec,observationStartMJD,flush_by_mjd,visitExposureTime,filter,rotSkyPos,rotSkyPos_desired,numExposures,airmass,seeingFwhm500,seeingFwhmEff,seeingFwhmGeom,skyBrightness,night,slewTime,visitTime,slewDistance,fiveSigmaDepth,altitude,azimuth,paraAngle,cloud,moonAlt,sunAlt,note,target,fieldId,proposalId,block_id,observationStartLST,rotTelPos,rotTelPos_backup,moonAz,sunAz,sunRA,sunDec,moonRA,moonDec,moonDistance,solarElong,moonPhase,cummTelAz,scripted_id
20,204.05729336735783,-8.088389536925577,2025-05-01 00:14:38.428089088,60796.043692129635,30.0,r,165.74558465801022,0.0,2,1.6730733547253065,0.7353931014100059,1.2752710797237314,1.1002728275329072,20.797729212157872,0,4.378918051934013,34.0,3.053603571227884,23.63403157284052,36.70552251551485,76.6128313408044,238.0873831109439,0.125,2.2610802336769664,-27.740802061585836,"blob_long, gr, a",,-1,20,1,152.0979751026056,43.83296776895414,0.0,305.9189177040217,271.9415673416899,38.11759688748345,14.980112679872969,83.83408955916865,29.095762015810646,120.25781656065392,164.60559019724647,24.639932424391205,78.58204102521468,0
21,204.28727383163152,-11.170117154342622,2025-05-01 00:15:16.838512896,60796.043692129635,30.0,r,163.702756611431,0.0,2,1.6160038879951384,0.7353931014100059,1.2489900026426912,1.0786697821722921,20.825616811655625,0,4.410424304986197,34.0,3.090055463193729,23.676046117747585,38.22931496945998,79.98927222658361,240.13021115752312,0.125,2.1537297552944965,-27.878987268061355,"blob_long, gr, a",,-1,21,1,152.2584567201527,43.83296776895414,0.0,305.83767597429306,271.863665050761,38.11802138487905,14.980247780293375,83.84039458942047,29.094959552211236,121.91141920425402,166.00380912835945,24.642657984910457,82.06331028538233,0
22,204.47874262207887,-14.29387367941018,2025-05-01 00:15:55.280909824,60796.043692129635,30.0,r,161.48213909603103,0.0,2,1.5653060074240848,0.7353931014100059,1.225330016904305,1.0592212738953388,20.847607487241326,0,4.442397192512824,34.0,3.1293329145949427,23.712802589529257,39.706322799978295,83.53020597372894,242.3508286729231,0.125,2.0461710599464618,-28.017304677285697,"blob_long, gr, a",,-1,22,1,152.41907192231864,43.83296776895414,0.0,305.75651935063553,271.78563548122696,38.11844623605555,14.980382992349082,83.84671121292168,29.094154770534235,123.47001095863806,166.78721323295306,24.645388811009592,85.70420219207786,0
23,204.66804562362722,-17.43067146301962,2025-05-01 00:16:33.754044672,60796.043692129635,30.0,r,159.08922547422955,0.0,2,1.5218252305942623,0.7353931014100059,1.2047928719148502,1.0423397407140067,20.868110898156875,0,4.4731348427719775,34.0,3.1420770991156908,23.745565343045275,41.07950711748333,87.23391771966426,244.74374229472457,0.125,1.9384073111370896,-28.155749888968764,"blob_long, gr, a",,-1,23,1,152.57981555062398,43.83296776895414,0.0,305.67545059736784,271.70748085202047,38.11887142736906,14.980518311695475,83.85303924239173,29.093347692587447,124.94089630055592,166.85678299783183,24.648124822318714,89.50192315580829,0
24,204.76902914503563,-20.6066396116601,2025-05-01 00:17:12.255769344,60796.043692129635,30.0,r,156.49892976329542,0.0,2,1.482402948784401,0.6927553832540665,1.1343561670704616,0.9844407693319195,20.878378627218567,0,4.501725039799828,34.0,3.1774022790737013,23.820402966525847,42.42157568086514,91.09356648706816,247.33403800565873,0.125,1.8304442501632945,-28.29431521310589,"blob_long, gr, a",,-1,24,1,152.74067863026173,43.83296776895414,0.0,305.5944743760962,271.62920524784,38.11929693508088,14.980653730775362,83.85937833928148,29.09253835960801,126.248102201217,166.10760714451544,24.650865873023797,93.44848482234143,0
25,204.7081877773284,-23.81360059460002,2025-05-01 00:17:50.780829440,60796.043692129635,30.0,r,153.68708957844893,0.0,2,1.4454084889464942,0.6927553832540665,1.1172851717139638,0.9704084111488782,20.902427789707385,0,4.525060057071058,34.0,3.207455417237481,23.851965830664483,43.77640951189478,95.0850478572357,250.1458781905052,0.125,1.7222963708502503,-28.43298177277862,"blob_long, gr, a",,-1,25,1,152.90163920618156,43.83296776895414,0.0,305.5136018275914,271.55081909124243,38.11972270111741,14.980789231104694,83.86572765135091,29.09172687870631,127.31328773937881,164.58794237074966,24.65361159510195,97.51864913327019,0
26,204.42114286497147,-27.022034436099695,2025-05-01 00:18:29.322547968,60796.043692129635,30.0,r,150.62835924016846,0.0,2,1.410034860745427,0.6927553832540665,1.100797879646887,0.9568558570697411,20.953456596487612,0,4.54171846059211,34.0,3.2188870296116736,23.89461473180386,45.17005121699824,99.17529872217746,253.20460852878566,0.125,1.6139822304613467,-28.571725562428064,"blob_long, gr, a",,-1,26,1,153.06266938215958,43.83296776895414,0.0,305.4328469836701,271.4723357361954,38.12014865168944,14.980924789198488,83.87208608817858,29.090913387939352,128.0656610983429,162.46216711261772,24.656361517377842,101.67821680379858,0
27,206.94295604938188,-28.7865126401907,2025-05-01 00:19:07.694870016,60796.043692129635,30.0,r,149.50186022933346,0.0,2,1.4484952004366511,0.6927553832540665,1.1187161576923732,0.9715846816231307,20.91608740726729,0,4.3723223109187215,34.0,2.842386276849691,23.856105015071268,43.65953421084806,102.36327901357855,254.3311075396207,0.125,1.5060254103715403,-28.709876712452036,"blob_long, gr, a",,-1,27,1,153.22299180655605,43.83296776895414,0.0,305.35259854913676,271.39413429519135,38.12057273057501,14.98105975067309,83.8784229174493,29.0901018241729,130.68984750412915,162.7561528530773,24.659102347084414,104.9250096908108,0
28,203.89065018478308,-30.195514595468424,2025-05-01 00:19:46.523304192,60796.043692129635,30.0,r,147.25416351277374,0.0,2,1.3736010149916191,0.6927553832540665,1.0836425166173107,0.9427541486594294,20.97754463173749,0,4.828434216085622,34.0,3.0071443400981916,23.926616623246645,46.72011122443306,103.30131158232103,256.5788042561804,0.125,1.3966647665051342,-28.84968742393756,"blob_long, gr, a",,-1,28,1,153.38521990245852,43.83296776895414,0.0,305.271549866104,271.314939161437,38.121001850708055,14.981196315532365,83.88484150743272,29.089278939534566,128.47943864522335,159.93953018141917,24.661878796272262,105.91548918211859,0
29,203.1518447097231,-33.31022623211328,2025-05-01 00:20:25.095968256,60796.043692129635,30.0,r,143.62737502000746,0.0,2,1.3435608988070313,0.6927553832540665,1.0693603768679407,0.9310142297854472,20.997731305686624,0,4.57266455803186,34.0,3.177402289800824,23.953461546734957,48.098219100506476,107.58209009451556,260.2055927489467,0.125,1.287904389596666,-28.988594534718565,"blob_long, gr, a",,-1,29,1,153.54637937132335,43.83296776895414,0.0,305.19118784565296,271.2362016747566,38.12142814458062,14.98133197998246,83.89122422922992,29.088459807880504,128.60472375894187,157.2009560360073,24.664639984901584,110.2437183532753,0
